metric,n,median,q1,q3,iqr,min,max,p95
detection_s,30,5.800000508315861e-06,5.600013537332416e-06,6.074995326343924e-06,4.749817890115082e-07,5.0000089686363935e-06,7.399998139590025e-06,6.939994636923072e-06
decision_s,30,3.599999763537198e-05,3.495000419206917e-05,3.692499012686312e-05,1.974985934793949e-06,2.1099986042827368e-05,4.020001506432891e-05,3.9164994086604564e-05
enforcement_s,30,0.5372282000025734,0.5239983749925159,0.5791684749929118,0.055170100000395905,0.48222430000896566,0.9817551000160165,0.6261380300013115
end_to_end_s,30,0.5372709999937797,0.5240375250141369,0.5792069749950315,0.05516944998089457,0.48226670001167804,0.9817961000080686,0.6261820699874078
